date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:34	43700/43700	---M-Z	200	added ('OK')	text/html	etag:%22548858f-aab4-52bd948925340%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-add-to-cart.html	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-add-to-cart.html	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:34	31164/31164	---M-Z	200	added ('OK')	text/html	etag:%2254885a0-79bc-52bd948925340%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-login.html	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-login.html	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:35	31254/31254	---M-Z	200	added ('OK')	text/html	etag:%2254885a6-7a16-52bd948925340%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-register.html	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-register.html	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:35	62282/62282	---M-Z	200	added ('OK')	text/html	etag:%22548858c-f34a-52bd948925340%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/index.html	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/index.html	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:35	2637/2637	---M--	200	added ('OK')	image/png	etag:%2254886ab-a4d-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/logo.png	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/logo.png	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:35	8655/8655	---M--	200	added ('OK')	image/jpeg	etag:%225488740-21cf-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/thumb/05.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/thumb/05.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:36	5709/5709	---M--	200	added ('OK')	image/jpeg	etag:%22548873d-164d-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/thumb/02.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/thumb/02.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:36	8970/8970	---M--	200	added ('OK')	image/jpeg	etag:%22548873e-230a-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/thumb/03.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/thumb/03.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:36	44298/44298	---M-Z	200	added ('OK')	text/html	etag:%22548859b-ad0a-52bd948925340%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-inner.html	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-inner.html	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:37	47351/47351	---M-Z	200	added ('OK')	text/html	etag:%225488598-b8f7-52bd948925340%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-list.html	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-list.html	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:38	1138/1138	---M--	200	added ('OK')	image/jpeg	etag:%225488721-472-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/colors/01.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/colors/01.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:38	1138/1138	---M--	200	added ('OK')	image/jpeg	etag:%225488725-472-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/colors/02.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/colors/02.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:39	1137/1137	---M--	200	added ('OK')	image/jpeg	etag:%225488727-471-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/colors/03.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/colors/03.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:39	1137/1137	---M--	200	added ('OK')	image/jpeg	etag:%225488728-471-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/colors/04.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/colors/04.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:39	1138/1138	---M--	200	added ('OK')	image/jpeg	etag:%22548872a-472-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/colors/05.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/colors/05.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:40	1135/1135	---M--	200	added ('OK')	image/jpeg	etag:%22548872b-46f-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/colors/06.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/colors/06.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:40	1137/1137	---M--	200	added ('OK')	image/jpeg	etag:%22548872c-471-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/colors/07.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/colors/07.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:44	55588/55588	---M--	200	added ('OK')	image/jpeg	etag:%2254886b3-d924-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/blog/01.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/blog/01.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:44	46469/46469	---M--	200	added ('OK')	image/jpeg	etag:%2254886b8-b585-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/blog/02.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/blog/02.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:44	44658/44658	---M--	200	added ('OK')	image/jpeg	etag:%2254886ba-ae72-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/blog/03.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/blog/03.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:52	48628/48628	---M--	200	added ('OK')	image/jpeg	etag:%2254886dd-bdf4-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/blog/18.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/blog/18.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:56	72673/72673	---M--	200	added ('OK')	image/jpeg	etag:%2254886db-11be1-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/blog/17.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/blog/17.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:57	26590/26590	---M--	200	added ('OK')	image/jpeg	etag:%2254886e5-67de-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/blog/22.jpg	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/blog/22.jpg	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:58	3074/3074	---M--	200	added ('OK')	image/png	etag:%2254886aa-c02-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/logo-2.png	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/img/logo-2.png	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
